département,catégorie,ville,salaire
Maine-et-Loire,Ouvrier,Mozé-sur-Louet,11.5
Manche,Cadre,Agon-Coutainville,34.5
Manche,Profession,Les Pieux,19.6
Manche,Employé,La Hague,12.6
Manche,Ouvrier,La Hague,12.6
Marne,Cadre,Taissy,30
Marne,Profession,Muizon,19.3
Marne,Employé,Courtisols,13.1
Marne,Ouvrier,Aÿ-Champagne,13.2
Haute-Marne,Cadre,Bourbonne-les-Bains,32.7
Haute-Marne,Profession,Éclaron-Braucourt-Sainte-Livière,15.9
Haute-Marne,Employé,Joinville,11.5
Haute-Marne,Ouvrier,Chalindrey,11.8
Mayenne,Cadre,Bonchamp-lès-Laval,27.9
Mayenne,Profession,Bonchamp-lès-Laval,15.7
Mayenne,Employé,Entrammes,11.3
Mayenne,Ouvrier,Évron Saint-Pierre-la-Cour,11.6
Meurthe-et-Moselle,Cadre,Cosnes-et-Romain,29.6
Meurthe-et-Moselle,Profession,Bois-de-Haye,25.6
Meurthe-et-Moselle,Employé,Lay-Saint-Christophe Richardménil,13.2
Meurthe-et-Moselle,Ouvrier,Audun-le-Roman,12.9
Meuse,Cadre,Bouligny,30.4
Meuse,Profession,Revigny-sur-Ornain,17.3
Meuse,Employé,Fains-Véel,11.8
Meuse,Ouvrier,Fains-Véel,12
Morbihan,Cadre,Arzon,31.4
Morbihan,Profession,Larmor-Plage,29.5
Morbihan,Employé,Férel,12.2
Morbihan,Ouvrier,Férel Groix Saint-Pierre-Quiberon,11.9
Moselle,Cadre,Falck,36.8
Moselle,Profession,Manom,20.8
Moselle,Employé,Ennery,14.6
Moselle,Ouvrier,Neufchef,12.9
Nièvre,Cadre,Cosne-Cours-sur-Loire,26
Nièvre,Profession,Cosne-Cours-sur-Loire,16.7
Nièvre,Employé,Marzy,11.9
Nièvre,Ouvrier,Marzy,12.3
Nord,Cadre,Bondues,39.6
Nord,Profession,Mérignies,44.3
Nord,Employé,Flines-lez-Raches,17.4
Nord,Ouvrier,Téteghem-Coudekerque-Village,13.8
Oise,Cadre,Lamorlaye,41
Oise,Profession,Lamorlaye,18.7
Oise,Employé,Orry-la-Ville,14.4
Oise,Ouvrier,Verneuil-en-Halatte,13.6
Orne,Cadre,Val-au-Perche,33.6
Orne,Profession,Juvigny Val d'Andaine,16.5
Orne,Employé,Condé-sur-Sarthe,11.4
Orne,Ouvrier,Rives d'Andaine Val-au-Perche,11.5
Pas-de-Calais,Cadre,Neufchâtel-Hardelot,39.3
Pas-de-Calais,Profession,Oye-Plage,19.6
Pas-de-Calais,Employé,Locon,13.3
Pas-de-Calais,Ouvrier,Sangatte,14
Puy-de-Dôme,Cadre,Royat,32.8
Puy-de-Dôme,Profession,Pérignat-lès-Sarliève,19.5
Puy-de-Dôme,Employé,Aubière,13.9
Puy-de-Dôme,Ouvrier,Volvic,17.1
Pyrénées-Atlantiques,Cadre,Lescar,34.1
Pyrénées-Atlantiques,Profession,Bordes Idron,17.8
Pyrénées-Atlantiques,Employé,Bordes,13.6
Pyrénées-Atlantiques,Ouvrier,Monein,12.9
Hautes-Pyrénées,Cadre,Argelès-Gazost,26.5
Hautes-Pyrénées,Profession,Ibos,16.8
Hautes-Pyrénées,Employé,Ossun,11.5
Hautes-Pyrénées,Ouvrier,Ibos,12.2
Pyrénées-Orientales,Cadre,Arles-sur-Tech,29.2
Pyrénées-Orientales,Profession,Sorède,16.4
Pyrénées-Orientales,Employé,Canohès Latour-Bas-Elne,11.9
Pyrénées-Orientales,Ouvrier,Collioure,11.6
Bas-Rhin,Cadre,La Wantzenau,37.7
Bas-Rhin,Profession,Lauterbourg,19.8
Bas-Rhin,Employé,Bischoffsheim,13.8
Bas-Rhin,Ouvrier,Offendorf,13.1
Haut-Rhin,Cadre,Saint-Amarin,30.7
Haut-Rhin,Profession,Fessenheim,21.3
Haut-Rhin,Employé,Sainte-Croix-en-Plaine,14
Haut-Rhin,Ouvrier,Biesheim,14.2
Rhône,Cadre,Saint-Cyr-au-Mont-d'Or,50.1
Rhône,Profession,Saint-Cyr-au-Mont-d'Or,65.2
Rhône,Employé,Fontaines-Saint-Martin,16.1
Rhône,Ouvrier,Chessy Toussieu,12.8
Haute-Saône,Cadre,Échenoz-la-Méline,25.5
Haute-Saône,Profession,Champagney Échenoz-la-Méline,15.7
Haute-Saône,Employé,Rioz,12.1
Haute-Saône,Ouvrier,Champagney,12.1
Saône-et-Loire,Cadre,Givry,30.1
Saône-et-Loire,Profession,Gueugnon,18
Saône-et-Loire,Employé,Crissey Gergy,12.1
Saône-et-Loire,Ouvrier,Gueugnon,13.5
Sarthe,Cadre,Yvré-l'Évêque,29.6
Sarthe,Profession,Bessé-sur-Braye,18.3
Sarthe,Employé,Saint-Saturnin,13.1
Sarthe,Ouvrier,Bessé-sur-Braye,13.1
Savoie,Cadre,Tresserve,37.6
Savoie,Profession,Grand-Aigueblanche,18.3
Savoie,Employé,Mercury,13.9
Savoie,Ouvrier,Les Belleville,15.2
Haute-Savoie,Cadre,Veyrier-du-Lac,49.5
Haute-Savoie,Profession,Neuvecelle,21.6
Haute-Savoie,Employé,Argonay,13.2
Haute-Savoie,Ouvrier,Domancy,13.8
Paris,Cadre,Paris,37.2
Paris,Profession,Paris,18.3
Paris,Employé,Paris,11.8
Paris,Ouvrier,Paris,11.1
Seine-Maritime,Cadre,Sainte-Adresse,36.9
Seine-Maritime,Profession,Cany-Barville,20.8
Seine-Maritime,Employé,Quincampoix,17.9
Seine-Maritime,Ouvrier,Sainte-Adresse,17.9
Seine-et-Marne,Cadre,Bourron-Marlotte,41
Seine-et-Marne,Profession,Grisy-Suisnes,19.5
Seine-et-Marne,Employé,Chailly-en-Bière,15.2
Seine-et-Marne,Ouvrier,Couilly-Pont-aux-Dames,15.7
Yvelines,Cadre,Saint-Nom-la-Bretèche,63.6
Yvelines,Profession,Chambourcy,69.2
Yvelines,Employé,Le Vésinet,23.5
Yvelines,Ouvrier,Louveciennes,19.6
Deux-Sèvres,Cadre,Magné,27.2
Deux-Sèvres,Profession,Chef-Boutonne,16.7
Deux-Sèvres,Employé,Magné,16.7
Deux-Sèvres,Ouvrier,Airvault,11.5
Somme,Cadre,Chaulnes,32
Somme,Profession,Nesle,17.2
Somme,Employé,Ailly-sur-Noye,13.1
Somme,Ouvrier,Corbie,12.4
Tarn,Cadre,Castres,26.9
Tarn,Profession,Saïx,21.8
Tarn,Employé,Puygouzon,12.5
Tarn,Ouvrier,Saint-Sulpice-la-Pointe,11.9
Tarn-et-Garonne,Cadre,Valence,26.9
Tarn-et-Garonne,Profession,Valence,16.7
Tarn-et-Garonne,Employé,Bressols Montech,11.5
