Ville,Categorie,Difference de salaire (%)
Trévoux,Cadre,11.69
Trévoux,Profession,6.98
Trévoux,Employé,5.99
Trévoux,Ouvrier,7.55
Versonnex,Cadre,12.17
Versonnex,Profession,22.7
Versonnex,Employé,2.0
Versonnex,Ouvrier,11.0
Villars-les-Dombes,Cadre,10.02
Villars-les-Dombes,Profession,9.68
Villars-les-Dombes,Employé,4.63
Villars-les-Dombes,Ouvrier,10.0
Villieu-Loyes-Mollon,Cadre,6.52
Villieu-Loyes-Mollon,Profession,10.67
Villieu-Loyes-Mollon,Employé,.91
Villieu-Loyes-Mollon,Ouvrier,8.44
Viriat,Cadre,14.97
Viriat,Profession,6.12
Viriat,Employé,3.64
Viriat,Ouvrier,7.11
Vonnas,Cadre,17.26
Vonnas,Profession,5.19
Vonnas,Employé,6.34
Vonnas,Ouvrier,3.77
Anizy-le-Grand,Cadre,8.83
Anizy-le-Grand,Profession,6.86
Anizy-le-Grand,Employé,6.86
Anizy-le-Grand,Ouvrier,9.28
Athies-sous-Laon,Cadre,1.42
Athies-sous-Laon,Profession,9.15
Athies-sous-Laon,Employé,3.23
Athies-sous-Laon,Ouvrier,9.27
Beautor,Cadre,7.26
Beautor,Profession,15.75
Beautor,Employé,.0
Beautor,Ouvrier,14.15
Belleu,Cadre,.51
Belleu,Profession,7.53
Belleu,Employé,4.76
Belleu,Ouvrier,10.24
Bohain-en-Vermandois,Cadre,8.13
Bohain-en-Vermandois,Profession,9.6
Bohain-en-Vermandois,Employé,3.7
Bohain-en-Vermandois,Ouvrier,8.13
Braine,Cadre,20.0
Braine,Profession,8.16
Braine,Employé,8.92
Braine,Ouvrier,7.62
Charly-sur-Marne,Cadre,9.0
Charly-sur-Marne,Profession,5.23
Charly-sur-Marne,Employé,2.28
Charly-sur-Marne,Ouvrier,5.26
Château-Thierry,Cadre,15.22
Château-Thierry,Profession,6.09
Château-Thierry,Employé,3.35
Château-Thierry,Ouvrier,5.71
Chauny,Cadre,11.98
Chauny,Profession,7.75
Chauny,Employé,3.52
Chauny,Ouvrier,9.45
Crouy,Cadre,9.23
Crouy,Profession,8.42
Crouy,Employé,2.94
Crouy,Ouvrier,8.49
Essômes-sur-Marne,Cadre,20.83
Essômes-sur-Marne,Profession,2.76
Essômes-sur-Marne,Employé,5.88
Essômes-sur-Marne,Ouvrier,4.76
Fère-en-Tardenois,Cadre,.7
Fère-en-Tardenois,Profession,9.56
Fère-en-Tardenois,Employé,2.86
Fère-en-Tardenois,Ouvrier,5.61
La Ferté-Milon,Cadre,8.81
La Ferté-Milon,Profession,4.79
La Ferté-Milon,Employé,6.03
La Ferté-Milon,Ouvrier,7.69
Fresnoy-le-Grand,Cadre,30.11
Fresnoy-le-Grand,Profession,5.88
Fresnoy-le-Grand,Employé,2.06
Fresnoy-le-Grand,Ouvrier,6.6
Gauchy,Cadre,9.37
Gauchy,Profession,7.64
Gauchy,Employé,7.55
Gauchy,Ouvrier,6.36
Villeneuve-sur-Aisne,Cadre,5.88
Villeneuve-sur-Aisne,Profession,8.53
Villeneuve-sur-Aisne,Employé,10.62
Villeneuve-sur-Aisne,Ouvrier,7.83
Guise,Cadre,20.31
Guise,Profession,4.76
Guise,Employé,2.04
Guise,Ouvrier,3.74
Hirson,Cadre,2.6
Hirson,Profession,6.67
Hirson,Employé,4.08
Hirson,Ouvrier,7.46
Laon,Cadre,9.18
Laon,Profession,6.06
Laon,Employé,1.49
Laon,Ouvrier,6.95
Marle,Cadre,12.45
Marle,Profession,.68
Marle,Employé,1.46
Marle,Ouvrier,4.15
Neuilly-Saint-Front,Cadre,6.86
Neuilly-Saint-Front,Profession,5.44
Neuilly-Saint-Front,Employé,3.67
Neuilly-Saint-Front,Ouvrier,6.73
Nogent-l'Artaud,Cadre,18.53
Nogent-l'Artaud,Profession,10.37
Nogent-l'Artaud,Employé,.47
Nogent-l'Artaud,Ouvrier,10.53
Le Nouvion-en-Thiérache,Cadre,24.89
Le Nouvion-en-Thiérache,Profession,13.07
Le Nouvion-en-Thiérache,Employé,.0
Le Nouvion-en-Thiérache,Ouvrier,4.93
Saint-Gobain,Cadre,14.42
Saint-Gobain,Profession,8.3
Saint-Gobain,Employé,8.06
Saint-Gobain,Ouvrier,11.79
Saint-Michel,Cadre,3.74
Saint-Michel,Profession,6.69
Saint-Michel,Employé,2.81
Saint-Michel,Ouvrier,5.76
Saint-Quentin,Cadre,12.56
Saint-Quentin,Profession,3.68
Saint-Quentin,Employé,2.02
Saint-Quentin,Ouvrier,6.47
Sinceny,Cadre,13.02
Sinceny,Profession,12.5
Sinceny,Employé,5.61
Sinceny,Ouvrier,16.5
Sissonne,Cadre,9.84
Sissonne,Profession,.0
Sissonne,Employé,.0
Sissonne,Ouvrier,13.19
Soissons,Cadre,12.07
Soissons,Profession,5.38
Soissons,Employé,1.96
Soissons,Ouvrier,10.31
Tergnier,Cadre,10.89
Tergnier,Profession,10.64
Tergnier,Employé,4.39
Tergnier,Ouvrier,13.46
Vervins,Cadre,6.32
Vervins,Profession,4.47
Vervins,Employé,1.49
Vervins,Ouvrier,.43
Villeneuve-Saint-Germain,Cadre,13.55
Villeneuve-Saint-Germain,Profession,5.1
Villeneuve-Saint-Germain,Employé,6.1
Villeneuve-Saint-Germain,Ouvrier,11.65
Villers-Cotterêts,Cadre,13.12
Villers-Cotterêts,Profession,7.02
Villers-Cotterêts,Employé,5.5
Villers-Cotterêts,Ouvrier,10.19
Abrest,Cadre,12.78
Abrest,Profession,5.38
Abrest,Employé,5.88
Abrest,Ouvrier,7.11
Avermes,Cadre,9.45
Avermes,Profession,5.02
Avermes,Employé,1.49
Avermes,Ouvrier,8.54
Bellerive-sur-Allier,Cadre,17.67
Bellerive-sur-Allier,Profession,4.53
Bellerive-sur-Allier,Employé,4.39
Bellerive-sur-Allier,Ouvrier,9.18
Bourbon-l'Archambault,Cadre,8.87
Bourbon-l'Archambault,Profession,3.08
Bourbon-l'Archambault,Employé,2.0
Bourbon-l'Archambault,Ouvrier,6.86
Commentry,Cadre,2.11
Commentry,Profession,14.38
Commentry,Employé,6.67
Commentry,Ouvrier,12.04
Cosne-d'Allier,Cadre,7.43
Cosne-d'Allier,Profession,11.51
Cosne-d'Allier,Employé,3.48
Cosne-d'Allier,Ouvrier,6.6
Creuzier-le-Vieux,Cadre,15.37
Creuzier-le-Vieux,Profession,3.47
Creuzier-le-Vieux,Employé,5.77
