Ville,Categorie,Difference de salaire (%)
Saint-Germain-Laprade,Profession,7.25
Saint-Germain-Laprade,Employé,4.67
Saint-Germain-Laprade,Ouvrier,10.31
Saint-Just-Malmont,Cadre,5.19
Saint-Just-Malmont,Profession,9.29
Saint-Just-Malmont,Employé,7.48
Saint-Just-Malmont,Ouvrier,11.22
Saint-Maurice-de-Lignon,Cadre,21.99
Saint-Maurice-de-Lignon,Profession,9.29
Saint-Maurice-de-Lignon,Employé,2.94
Saint-Maurice-de-Lignon,Ouvrier,8.74
Saint-Pal-de-Mons,Cadre,13.76
Saint-Pal-de-Mons,Profession,7.64
Saint-Pal-de-Mons,Employé,2.94
Saint-Pal-de-Mons,Ouvrier,9.43
Saint-Paulien,Cadre,7.45
Saint-Paulien,Profession,7.22
Saint-Paulien,Employé,6.8
Saint-Paulien,Ouvrier,7.22
Sainte-Sigolène,Cadre,6.4
Sainte-Sigolène,Profession,11.81
Sainte-Sigolène,Employé,7.48
Sainte-Sigolène,Ouvrier,12.0
Tence,Cadre,12.9
Tence,Profession,6.61
Tence,Employé,1.55
Tence,Ouvrier,8.16
Vals-près-le-Puy,Cadre,10.78
Vals-près-le-Puy,Profession,.39
Vals-près-le-Puy,Employé,1.02
Vals-près-le-Puy,Ouvrier,13.45
Yssingeaux,Cadre,10.0
Yssingeaux,Profession,7.52
Yssingeaux,Employé,4.39
Yssingeaux,Ouvrier,10.2
Abbaretz,Cadre,10.33
Abbaretz,Profession,3.08
Abbaretz,Employé,2.0
Abbaretz,Ouvrier,7.77
Aigrefeuille-sur-Maine,Cadre,7.73
Aigrefeuille-sur-Maine,Profession,6.52
Aigrefeuille-sur-Maine,Employé,5.99
Aigrefeuille-sur-Maine,Ouvrier,5.07
Ancenis-Saint-Géréon,Cadre,11.86
Ancenis-Saint-Géréon,Profession,7.64
Ancenis-Saint-Géréon,Employé,2.44
Ancenis-Saint-Géréon,Ouvrier,9.09
Chaumes-en-Retz,Cadre,13.0
Chaumes-en-Retz,Profession,8.36
Chaumes-en-Retz,Employé,4.85
Chaumes-en-Retz,Ouvrier,9.43
Avessac,Cadre,16.49
Avessac,Profession,11.03
Avessac,Employé,2.13
Avessac,Ouvrier,6.6
Basse-Goulaine,Cadre,14.96
Basse-Goulaine,Profession,6.54
Basse-Goulaine,Employé,5.41
Basse-Goulaine,Ouvrier,8.57
Batz-sur-Mer,Cadre,14.51
Batz-sur-Mer,Profession,5.92
Batz-sur-Mer,Employé,.97
Batz-sur-Mer,Ouvrier,9.77
La Bernerie-en-Retz,Cadre,19.7
La Bernerie-en-Retz,Profession,4.41
La Bernerie-en-Retz,Employé,3.41
La Bernerie-en-Retz,Ouvrier,6.16
Besné,Cadre,14.43
Besné,Profession,12.93
Besné,Employé,3.88
Besné,Ouvrier,9.79
Le Bignon,Cadre,11.49
Le Bignon,Profession,7.74
Le Bignon,Employé,8.3
Le Bignon,Ouvrier,7.34
Blain,Cadre,3.21
Blain,Profession,10.71
Blain,Employé,4.39
Blain,Ouvrier,7.69
Bouaye,Cadre,8.18
Bouaye,Profession,7.64
Bouaye,Employé,4.04
Bouaye,Ouvrier,10.38
Bouguenais,Cadre,7.8
Bouguenais,Profession,7.96
Bouguenais,Employé,3.2
Bouguenais,Ouvrier,9.0
Villeneuve-en-Retz,Cadre,.48
Villeneuve-en-Retz,Profession,8.3
Villeneuve-en-Retz,Employé,6.73
Villeneuve-en-Retz,Ouvrier,8.13
Boussay,Cadre,5.88
Boussay,Profession,3.82
Boussay,Employé,8.33
Boussay,Ouvrier,8.49
Bouvron,Cadre,14.59
Bouvron,Profession,8.51
Bouvron,Employé,7.91
Bouvron,Ouvrier,4.04
Brains,Cadre,10.75
Brains,Profession,8.71
Brains,Employé,6.67
Brains,Ouvrier,10.26
Campbon,Cadre,12.75
Campbon,Profession,13.31
Campbon,Employé,6.98
Campbon,Ouvrier,7.89
Carquefou,Cadre,15.11
Carquefou,Profession,6.67
Carquefou,Employé,3.9
Carquefou,Ouvrier,7.11
Casson,Cadre,19.39
Casson,Profession,9.09
Casson,Employé,6.96
Casson,Ouvrier,.0
Le Cellier,Cadre,10.71
Le Cellier,Profession,9.59
Le Cellier,Employé,6.96
Le Cellier,Ouvrier,4.98
Divatte-sur-Loire,Cadre,9.93
Divatte-sur-Loire,Profession,6.96
Divatte-sur-Loire,Employé,8.85
Divatte-sur-Loire,Ouvrier,6.22
La Chapelle-des-Marais,Cadre,8.52
La Chapelle-des-Marais,Profession,9.61
La Chapelle-des-Marais,Employé,6.22
La Chapelle-des-Marais,Ouvrier,8.04
La Chapelle-Heulin,Cadre,6.6
La Chapelle-Heulin,Profession,5.56
La Chapelle-Heulin,Employé,5.68
La Chapelle-Heulin,Ouvrier,3.14
La Chapelle-Launay,Cadre,13.99
La Chapelle-Launay,Profession,11.92
La Chapelle-Launay,Employé,13.45
La Chapelle-Launay,Ouvrier,9.33
La Chapelle-sur-Erdre,Cadre,12.36
La Chapelle-sur-Erdre,Profession,6.71
La Chapelle-sur-Erdre,Employé,4.39
La Chapelle-sur-Erdre,Ouvrier,6.8
Châteaubriant,Cadre,11.98
Châteaubriant,Profession,4.59
Châteaubriant,Employé,4.39
Châteaubriant,Ouvrier,5.0
Château-Thébaud,Cadre,14.42
Château-Thébaud,Profession,4.96
Château-Thébaud,Employé,9.09
Château-Thébaud,Ouvrier,8.76
Chauvé,Cadre,11.88
Chauvé,Profession,12.64
Chauvé,Employé,4.9
Chauvé,Ouvrier,10.05
La Chevrolière,Cadre,11.48
La Chevrolière,Profession,8.07
La Chevrolière,Employé,6.25
La Chevrolière,Ouvrier,10.7
Clisson,Cadre,15.84
Clisson,Profession,3.2
Clisson,Employé,5.07
Clisson,Ouvrier,10.68
Cordemais,Cadre,10.9
Cordemais,Profession,7.69
Cordemais,Employé,6.36
Cordemais,Ouvrier,6.91
Corsept,Cadre,5.61
Corsept,Profession,8.79
Corsept,Employé,5.16
Corsept,Ouvrier,8.62
Couëron,Cadre,8.39
Couëron,Profession,5.63
Couëron,Employé,4.11
Couëron,Ouvrier,6.48
Couffé,Cadre,9.84
Couffé,Profession,10.32
Couffé,Employé,8.52
Couffé,Ouvrier,9.17
Le Croisic,Cadre,23.62
Le Croisic,Profession,13.79
Le Croisic,Employé,3.52
Le Croisic,Ouvrier,10.28
Crossac,Cadre,9.57
Crossac,Profession,10.42
Crossac,Employé,5.61
Crossac,Ouvrier,11.84
Derval,Cadre,6.08
Derval,Profession,8.82
Derval,Employé,3.96
Derval,Ouvrier,6.8
Donges,Cadre,12.62
Donges,Profession,13.22
Donges,Employé,5.77
Donges,Ouvrier,12.5
Drefféac,Cadre,5.85
Drefféac,Profession,14.19
Drefféac,Employé,7.83
Drefféac,Ouvrier,9.57
Erbray,Cadre,14.41
Erbray,Profession,14.6
Erbray,Employé,7.62
Erbray,Ouvrier,9.95
La Baule-Escoublac,Cadre,22.57
La Baule-Escoublac,Profession,2.89
La Baule-Escoublac,Employé,4.67
La Baule-Escoublac,Ouvrier,13.12
Fay-de-Bretagne,Cadre,6.36
Fay-de-Bretagne,Profession,7.41
Fay-de-Bretagne,Employé,5.12
Fay-de-Bretagne,Ouvrier,7.98
Fégréac,Cadre,22.96
Fégréac,Profession,12.18
Fégréac,Employé,1.54
Fégréac,Ouvrier,6.36
Frossay,Cadre,7.16
Frossay,Profession,14.08
Frossay,Employé,4.9
Frossay,Ouvrier,8.85
Gétigné,Cadre,13.22
Gétigné,Profession,8.9
Gétigné,Employé,8.6
Gétigné,Ouvrier,8.06
Gorges,Cadre,13.73
Gorges,Profession,8.57
Gorges,Employé,8.6
Gorges,Ouvrier,9.35
Grandchamps-des-Fontaines,Cadre,9.3
Grandchamps-des-Fontaines,Profession,6.34
Grandchamps-des-Fontaines,Employé,7.42
Grandchamps-des-Fontaines,Ouvrier,7.55
Guémené-Penfao,Cadre,16.92
Guémené-Penfao,Profession,8.64
Guémené-Penfao,Employé,3.09
Guémené-Penfao,Ouvrier,6.8
Guenrouet,Cadre,8.17
Guenrouet,Profession,10.39
Guenrouet,Employé,4.48
Guenrouet,Ouvrier,5.83
Guérande,Cadre,13.5
Guérande,Profession,10.73
Guérande,Employé,2.42
Guérande,Ouvrier,12.5
La Haie-Fouassière,Cadre,13.75
La Haie-Fouassière,Profession,8.22
La Haie-Fouassière,Employé,10.83
La Haie-Fouassière,Ouvrier,7.41
Haute-Goulaine,Cadre,13.86
Haute-Goulaine,Profession,6.9
Haute-Goulaine,Employé,3.6
Haute-Goulaine,Ouvrier,9.86
Herbignac,Cadre,7.47
Herbignac,Profession,12.37
Herbignac,Employé,3.52
Herbignac,Ouvrier,9.42
Héric,Cadre,14.64
Héric,Profession,7.42
Héric,Employé,6.42
Héric,Ouvrier,9.09
Indre,Cadre,6.44
Indre,Profession,5.34
Indre,Employé,4.63
Indre,Ouvrier,6.98
Joué-sur-Erdre,Cadre,13.33
Joué-sur-Erdre,Profession,6.05
Joué-sur-Erdre,Employé,4.81
Joué-sur-Erdre,Ouvrier,8.13
Le Landreau,Cadre,12.28
Le Landreau,Profession,5.84
Le Landreau,Employé,5.16
Le Landreau,Ouvrier,6.1
Legé,Cadre,4.93
Legé,Profession,10.42
Legé,Employé,5.37
Legé,Ouvrier,9.71
Ligné,Cadre,7.54
Ligné,Profession,6.14
Ligné,Employé,7.69
Ligné,Ouvrier,10.05
La Limouzinière,Cadre,20.0
La Limouzinière,Profession,6.05
La Limouzinière,Employé,1.48
La Limouzinière,Ouvrier,6.54
Le Loroux-Bottereau,Cadre,8.7
Le Loroux-Bottereau,Profession,4.69
Le Loroux-Bottereau,Employé,3.85
Le Loroux-Bottereau,Ouvrier,6.28
Machecoul-Saint-Même,Cadre,13.04
Machecoul-Saint-Même,Profession,6.09
Machecoul-Saint-Même,Employé,6.16
Machecoul-Saint-Même,Ouvrier,7.32
Maisdon-sur-Sèvre,Cadre,2.96
Maisdon-sur-Sèvre,Profession,4.87
Maisdon-sur-Sèvre,Employé,8.37
Maisdon-sur-Sèvre,Ouvrier,9.52
Malville,Cadre,9.46
Malville,Profession,8.13
Malville,Employé,3.74
Malville,Ouvrier,9.33
Mauves-sur-Loire,Cadre,13.7
Mauves-sur-Loire,Profession,5.04
Mauves-sur-Loire,Employé,6.49
Mauves-sur-Loire,Ouvrier,8.41
Mésanger,Cadre,9.95
Mésanger,Profession,10.04
Mésanger,Employé,6.1
Mésanger,Ouvrier,6.79
Missillac,Cadre,8.47
Missillac,Profession,9.15
Missillac,Employé,3.88
Missillac,Ouvrier,11.11
Monnières,Cadre,6.99
Monnières,Profession,6.09
Monnières,Employé,7.36
Monnières,Ouvrier,5.56
La Montagne,Cadre,6.08
La Montagne,Profession,6.62
La Montagne,Employé,5.5
La Montagne,Ouvrier,10.8
Montbert,Cadre,8.04
Montbert,Profession,7.86
Montbert,Employé,8.62
Montbert,Ouvrier,10.14
Montoir-de-Bretagne,Cadre,13.97
Montoir-de-Bretagne,Profession,12.2
Montoir-de-Bretagne,Employé,3.92
Montoir-de-Bretagne,Ouvrier,11.69
Mouzillon,Cadre,9.04
Mouzillon,Profession,9.36
Mouzillon,Employé,4.72
Mouzillon,Ouvrier,9.0
Nantes,Cadre,10.56
Nantes,Profession,4.06
Nantes,Employé,1.9
Nantes,Ouvrier,8.16
Nort-sur-Erdre,Cadre,8.74
Nort-sur-Erdre,Profession,5.84
Nort-sur-Erdre,Employé,5.07
Nort-sur-Erdre,Ouvrier,6.22
Notre-Dame-des-Landes,Cadre,2.84
Notre-Dame-des-Landes,Profession,3.27
Notre-Dame-des-Landes,Employé,4.81
Notre-Dame-des-Landes,Ouvrier,7.41
Nozay,Cadre,12.18
Nozay,Profession,4.55
Nozay,Employé,2.36
Nozay,Ouvrier,6.51
Orvault,Cadre,12.16
Orvault,Profession,5.96
Orvault,Employé,2.28
Orvault,Ouvrier,7.77
Oudon,Cadre,12.3
Oudon,Profession,7.19
Oudon,Employé,9.32
Oudon,Ouvrier,7.83
Paimboeuf,Cadre,10.1
Paimboeuf,Profession,6.91
Paimboeuf,Employé,1.01
Paimboeuf,Ouvrier,8.84
Le Pallet,Cadre,.24
Le Pallet,Profession,6.29
Le Pallet,Employé,7.04
Le Pallet,Ouvrier,8.49
Le Pellerin,Cadre,8.78
Le Pellerin,Profession,7.32
Le Pellerin,Employé,5.12
Le Pellerin,Ouvrier,8.92
Petit-Mars,Cadre,4.17
Petit-Mars,Profession,6.94
Petit-Mars,Employé,11.97
Petit-Mars,Ouvrier,8.49
Piriac-sur-Mer,Cadre,23.96
Piriac-sur-Mer,Profession,12.75
Piriac-sur-Mer,Employé,2.04
Piriac-sur-Mer,Ouvrier,11.21
La Plaine-sur-Mer,Cadre,20.94
La Plaine-sur-Mer,Profession,7.22
La Plaine-sur-Mer,Employé,4.0
La Plaine-sur-Mer,Ouvrier,9.5
La Planche,Cadre,15.45
La Planche,Profession,6.92
La Planche,Employé,5.21
La Planche,Ouvrier,6.16
Plessé,Cadre,17.62
Plessé,Profession,6.81
Plessé,Employé,9.35
Plessé,Ouvrier,8.92
Pontchâteau,Cadre,8.96
Pontchâteau,Profession,11.64
Pontchâteau,Employé,4.85
Pontchâteau,Ouvrier,10.62
Pont-Saint-Martin,Cadre,7.26
Pont-Saint-Martin,Profession,7.64
Pont-Saint-Martin,Employé,5.36
Pont-Saint-Martin,Ouvrier,8.76
Pornic,Cadre,12.94
Pornic,Profession,10.34
Pornic,Employé,5.31
Pornic,Ouvrier,4.23
Pornichet,Cadre,7.47
Pornichet,Profession,8.91
Pornichet,Employé,2.88
Pornichet,Ouvrier,12.82
Port-Saint-Père,Cadre,15.2
Port-Saint-Père,Profession,11.56
Port-Saint-Père,Employé,.95
Port-Saint-Père,Ouvrier,7.27
Le Pouliguen,Cadre,18.87
Le Pouliguen,Profession,11.19
Le Pouliguen,Employé,.5
Le Pouliguen,Ouvrier,11.58
Prinquiau,Cadre,6.22
Prinquiau,Profession,8.97
Prinquiau,Employé,2.37
Prinquiau,Ouvrier,9.33
Rezé,Cadre,7.32
Rezé,Profession,6.47
Rezé,Employé,1.89
Rezé,Ouvrier,8.21
Riaillé,Cadre,14.2
Riaillé,Profession,5.34
Riaillé,Employé,6.67
Riaillé,Ouvrier,7.48
Rouans,Cadre,7.62
Rouans,Profession,12.8
Rouans,Employé,6.98
Rouans,Ouvrier,8.68
Rougé,Cadre,1.91
Rougé,Profession,4.91
Rougé,Employé,13.0
Rougé,Ouvrier,5.61
Saffré,Cadre,9.09
Saffré,Profession,5.19
Saffré,Employé,9.35
Saffré,Ouvrier,2.7
Saint-Aignan-Grandlieu,Cadre,15.89
Saint-Aignan-Grandlieu,Profession,11.04
Saint-Aignan-Grandlieu,Employé,5.45
Saint-Aignan-Grandlieu,Ouvrier,9.91
Saint-André-des-Eaux,Cadre,16.67
Saint-André-des-Eaux,Profession,13.33
Saint-André-des-Eaux,Employé,4.67
Saint-André-des-Eaux,Ouvrier,9.01
Sainte-Anne-sur-Brivet,Cadre,9.47
Sainte-Anne-sur-Brivet,Profession,14.19
Sainte-Anne-sur-Brivet,Employé,1.45
Sainte-Anne-sur-Brivet,Ouvrier,10.62
Saint-Brevin-les-Pins,Cadre,13.3
Saint-Brevin-les-Pins,Profession,11.11
Saint-Brevin-les-Pins,Employé,3.38
Saint-Brevin-les-Pins,Ouvrier,8.7
Saint-Colomban,Cadre,7.65
Saint-Colomban,Profession,7.53
Saint-Colomban,Employé,4.39
Saint-Colomban,Ouvrier,7.48
Corcoué-sur-Logne,Cadre,.6
Corcoué-sur-Logne,Profession,7.75
Corcoué-sur-Logne,Employé,7.34
Corcoué-sur-Logne,Ouvrier,4.59
Saint-Étienne-de-Montluc,Cadre,10.82
Saint-Étienne-de-Montluc,Profession,8.67
Saint-Étienne-de-Montluc,Employé,4.89
Saint-Étienne-de-Montluc,Ouvrier,9.68
Saint-Gildas-des-Bois,Cadre,23.08
Saint-Gildas-des-Bois,Profession,10.1
Saint-Gildas-des-Bois,Employé,8.13
Saint-Gildas-des-Bois,Ouvrier,5.88
Saint-Herblain,Cadre,6.7
Saint-Herblain,Profession,4.03
Saint-Herblain,Employé,1.9
Saint-Herblain,Ouvrier,9.09
Vair-sur-Loire,Cadre,.72
Vair-sur-Loire,Profession,5.84
Vair-sur-Loire,Employé,8.93
Vair-sur-Loire,Ouvrier,9.68
Saint-Hilaire-de-Chaléons,Cadre,13.58
Saint-Hilaire-de-Chaléons,Profession,7.52
Saint-Hilaire-de-Chaléons,Employé,2.44
Saint-Hilaire-de-Chaléons,Ouvrier,10.68
Saint-Hilaire-de-Clisson,Cadre,17.48
Saint-Hilaire-de-Clisson,Profession,6.27
Saint-Hilaire-de-Clisson,Employé,7.41
Saint-Hilaire-de-Clisson,Ouvrier,9.43
Saint-Jean-de-Boiseau,Cadre,10.0
Saint-Jean-de-Boiseau,Profession,9.54
Saint-Jean-de-Boiseau,Employé,4.93
Saint-Jean-de-Boiseau,Ouvrier,6.79
Saint-Joachim,Cadre,12.5
Saint-Joachim,Profession,11.27
Saint-Joachim,Employé,4.48
Saint-Joachim,Ouvrier,13.66
Saint-Julien-de-Concelles,Cadre,9.22
Saint-Julien-de-Concelles,Profession,3.83
Saint-Julien-de-Concelles,Employé,7.49
Saint-Julien-de-Concelles,Ouvrier,5.56
Sainte-Luce-sur-Loire,Cadre,10.49
Sainte-Luce-sur-Loire,Profession,5.84
Sainte-Luce-sur-Loire,Employé,2.7
Sainte-Luce-sur-Loire,Ouvrier,8.13
Saint-Lumine-de-Clisson,Cadre,11.01
Saint-Lumine-de-Clisson,Profession,8.51
Saint-Lumine-de-Clisson,Employé,5.61
Saint-Lumine-de-Clisson,Ouvrier,7.27
Saint-Lumine-de-Coutais,Cadre,11.86
Saint-Lumine-de-Coutais,Profession,7.01
Saint-Lumine-de-Coutais,Employé,7.48
Saint-Lumine-de-Coutais,Ouvrier,9.43
Saint-Lyphard,Cadre,12.98
Saint-Lyphard,Profession,13.49
Saint-Lyphard,Employé,2.86
Saint-Lyphard,Ouvrier,7.49
Saint-Malo-de-Guersac,Cadre,10.86
Saint-Malo-de-Guersac,Profession,14.19
Saint-Malo-de-Guersac,Employé,3.85
Saint-Malo-de-Guersac,Ouvrier,10.26
Saint-Mars-de-Coutais,Cadre,2.47
Saint-Mars-de-Coutais,Profession,7.04
Saint-Mars-de-Coutais,Employé,6.25
Saint-Mars-de-Coutais,Ouvrier,9.09
Saint-Mars-du-Désert,Cadre,8.83
Saint-Mars-du-Désert,Profession,7.37
Saint-Mars-du-Désert,Employé,7.56
Saint-Mars-du-Désert,Ouvrier,7.04
Vallons-de-l'Erdre,Cadre,10.85
Vallons-de-l'Erdre,Profession,9.36
Vallons-de-l'Erdre,Employé,8.49
Vallons-de-l'Erdre,Ouvrier,5.66
Saint-Michel-Chef-Chef,Cadre,12.13
Saint-Michel-Chef-Chef,Profession,6.62
Saint-Michel-Chef-Chef,Employé,3.92
Saint-Michel-Chef-Chef,Ouvrier,4.5
Saint-Molf,Cadre,30.86
Saint-Molf,Profession,6.34
Saint-Molf,Employé,2.0
Saint-Molf,Ouvrier,6.85
Saint-Nazaire,Cadre,9.51
Saint-Nazaire,Profession,3.76
Saint-Nazaire,Employé,2.88
Saint-Nazaire,Ouvrier,9.63
Saint-Nicolas-de-Redon,Cadre,12.4
Saint-Nicolas-de-Redon,Profession,10.86
Saint-Nicolas-de-Redon,Employé,1.51
Saint-Nicolas-de-Redon,Ouvrier,7.55
Sainte-Pazanne,Cadre,7.35
Sainte-Pazanne,Profession,5.76
Sainte-Pazanne,Employé,3.32
Sainte-Pazanne,Ouvrier,10.48
Saint-Père-en-Retz,Cadre,9.87
Saint-Père-en-Retz,Profession,10.22
Saint-Père-en-Retz,Employé,2.04
Saint-Père-en-Retz,Ouvrier,5.94
Saint-Philbert-de-Grand-Lieu,Cadre,11.53
Saint-Philbert-de-Grand-Lieu,Profession,8.71
Saint-Philbert-de-Grand-Lieu,Employé,6.48
Saint-Philbert-de-Grand-Lieu,Ouvrier,9.35
Sainte-Reine-de-Bretagne,Cadre,5.85
Sainte-Reine-de-Bretagne,Profession,11.36
Sainte-Reine-de-Bretagne,Employé,.5
Sainte-Reine-de-Bretagne,Ouvrier,11.21
Saint-Sébastien-sur-Loire,Cadre,9.13
Saint-Sébastien-sur-Loire,Profession,5.59
Saint-Sébastien-sur-Loire,Employé,3.29
Saint-Sébastien-sur-Loire,Ouvrier,8.21
Saint-Viaud,Cadre,10.29
Saint-Viaud,Profession,13.97
Saint-Viaud,Employé,1.6
Saint-Viaud,Ouvrier,4.24
Sautron,Cadre,14.5
Sautron,Profession,21.74
Sautron,Employé,4.39
Sautron,Ouvrier,7.77
Savenay,Cadre,10.79
Savenay,Profession,10.44
Savenay,Employé,5.02
Savenay,Ouvrier,9.01
Les Sorinières,Cadre,11.11
Les Sorinières,Profession,6.53
Les Sorinières,Employé,5.41
Les Sorinières,Ouvrier,6.31
Soudan,Cadre,18.52
Soudan,Profession,9.42
Soudan,Employé,4.08
Soudan,Ouvrier,8.49
Sucé-sur-Erdre,Cadre,13.47
Sucé-sur-Erdre,Profession,10.48
Sucé-sur-Erdre,Employé,8.71
Sucé-sur-Erdre,Ouvrier,7.04
Thouaré-sur-Loire,Cadre,13.18
Thouaré-sur-Loire,Profession,5.56
Thouaré-sur-Loire,Employé,4.07
Thouaré-sur-Loire,Ouvrier,5.66
Les Touches,Cadre,2.6
Les Touches,Profession,4.44
Les Touches,Employé,9.87
Les Touches,Ouvrier,4.98
Treillières,Cadre,15.42
Treillières,Profession,7.8
Treillières,Employé,5.68
Treillières,Ouvrier,7.27
Trignac,Cadre,6.96
Trignac,Profession,10.87
Trignac,Employé,2.97
Trignac,Ouvrier,13.24
La Turballe,Cadre,6.75
La Turballe,Profession,8.77
La Turballe,Employé,3.41
La Turballe,Ouvrier,9.68
Vallet,Cadre,13.88
Vallet,Profession,7.19
Vallet,Employé,1.94
Vallet,Ouvrier,8.06
Loireauxence,Cadre,10.61
Loireauxence,Profession,7.75
Loireauxence,Employé,4.81
Loireauxence,Ouvrier,7.69
Vay,Cadre,7.73
Vay,Profession,5.04
Vay,Employé,1.03
Vay,Ouvrier,7.18
Vertou,Cadre,16.16
Vertou,Profession,6.12
Vertou,Employé,3.17
Vertou,Ouvrier,6.54
Vieillevigne,Cadre,15.71
Vieillevigne,Profession,10.0
Vieillevigne,Employé,8.6
Vieillevigne,Ouvrier,5.26
Vigneux-de-Bretagne,Cadre,10.33
Vigneux-de-Bretagne,Profession,9.33
Vigneux-de-Bretagne,Employé,5.22
Vigneux-de-Bretagne,Ouvrier,6.67
Geneston,Cadre,11.68
Geneston,Profession,8.05
Geneston,Employé,7.08
Geneston,Ouvrier,9.95
Amilly,Cadre,9.33
Amilly,Profession,8.91
Amilly,Employé,3.32
Amilly,Ouvrier,6.16
Baule,Cadre,12.42
Baule,Profession,3.7
Baule,Employé,4.72
Baule,Ouvrier,2.13
Beaugency,Cadre,7.44
Beaugency,Profession,9.03
Beaugency,Employé,.5
Beaugency,Ouvrier,3.26
Beaune-la-Rolande,Cadre,13.06
Beaune-la-Rolande,Profession,7.04
Beaune-la-Rolande,Employé,6.42
Beaune-la-Rolande,Ouvrier,6.31
Boigny-sur-Bionne,Cadre,4.35
Boigny-sur-Bionne,Profession,2.21
Boigny-sur-Bionne,Employé,3.83
Boigny-sur-Bionne,Ouvrier,2.09
Briare,Cadre,6.72
Briare,Profession,6.89
Briare,Employé,1.52
Briare,Ouvrier,9.26
Cepoy,Cadre,16.93
Cepoy,Profession,6.85
Cepoy,Employé,3.35
Cepoy,Ouvrier,8.6
Chaingy,Cadre,17.67
Chaingy,Profession,3.55
Chaingy,Employé,7.3
Chaingy,Ouvrier,2.95
Châlette-sur-Loing,Cadre,7.3
Châlette-sur-Loing,Profession,7.09
Châlette-sur-Loing,Employé,1.02
Châlette-sur-Loing,Ouvrier,7.18
La Chapelle-Saint-Mesmin,Cadre,9.98
La Chapelle-Saint-Mesmin,Profession,5.88
La Chapelle-Saint-Mesmin,Employé,4.55
La Chapelle-Saint-Mesmin,Ouvrier,5.56
Châteauneuf-sur-Loire,Cadre,10.87
Châteauneuf-sur-Loire,Profession,6.8
Châteauneuf-sur-Loire,Employé,3.32
Châteauneuf-sur-Loire,Ouvrier,6.67
Château-Renard,Cadre,13.96
Château-Renard,Profession,4.63
Château-Renard,Employé,4.39
Château-Renard,Ouvrier,3.86
Châtillon-sur-Loire,Cadre,2.52
Châtillon-sur-Loire,Profession,11.33
Châtillon-sur-Loire,Employé,7.25
Châtillon-sur-Loire,Ouvrier,4.07
Chécy,Cadre,12.27
Chécy,Profession,6.84
Chécy,Employé,2.22
Chécy,Ouvrier,3.57
Chevilly,Cadre,18.06
Chevilly,Profession,6.62
Chevilly,Employé,.95
Chevilly,Ouvrier,4.55
Cléry-Saint-André,Cadre,6.55
Cléry-Saint-André,Profession,3.07
Cléry-Saint-André,Employé,.93
Cléry-Saint-André,Ouvrier,8.18
Corquilleroy,Cadre,5.82
Corquilleroy,Profession,1.04
Corquilleroy,Employé,6.85
Corquilleroy,Ouvrier,9.09
Coullons,Cadre,12.68
Coullons,Profession,12.37
Coullons,Employé,2.44
Coullons,Ouvrier,9.26
Courtenay,Cadre,8.92
Courtenay,Profession,8.19
Courtenay,Employé,3.85
Courtenay,Ouvrier,6.85
Dadonville,Cadre,5.39
Dadonville,Profession,4.95
Dadonville,Employé,1.41
Dadonville,Ouvrier,8.52
Donnery,Cadre,4.29
Donnery,Profession,6.45
Donnery,Employé,4.6
Donnery,Ouvrier,7.36
Dordives,Cadre,10.07
Dordives,Profession,13.68
Dordives,Employé,5.99
Dordives,Ouvrier,9.25
Fay-aux-Loges,Cadre,9.29
Fay-aux-Loges,Profession,3.97
Fay-aux-Loges,Employé,1.85
Fay-aux-Loges,Ouvrier,4.46
Ferrières-en-Gâtinais,Cadre,13.19
Ferrières-en-Gâtinais,Profession,8.61
Ferrières-en-Gâtinais,Employé,8.77
Ferrières-en-Gâtinais,Ouvrier,12.75
La Ferté-Saint-Aubin,Cadre,10.71
La Ferté-Saint-Aubin,Profession,4.41
La Ferté-Saint-Aubin,Employé,3.26
La Ferté-Saint-Aubin,Ouvrier,3.2
Fleury-les-Aubrais,Cadre,6.98
Fleury-les-Aubrais,Profession,2.76
Fleury-les-Aubrais,Employé,3.26
Fleury-les-Aubrais,Ouvrier,6.28
Gien,Cadre,12.05
Gien,Profession,9.97
Gien,Employé,1.51
Gien,Ouvrier,8.13
Ingré,Cadre,8.18
Ingré,Profession,6.62
Ingré,Employé,1.79
Ingré,Ouvrier,4.93
Jargeau,Cadre,12.3
Jargeau,Profession,6.62
Jargeau,Employé,8.3
Jargeau,Ouvrier,4.15
Lailly-en-Val,Cadre,13.73
Lailly-en-Val,Profession,1.77
Lailly-en-Val,Employé,1.87
Lailly-en-Val,Ouvrier,3.64
Lorris,Cadre,3.15
Lorris,Profession,8.22
Lorris,Employé,.51
Lorris,Ouvrier,5.07
Loury,Cadre,10.45
Loury,Profession,4.38
Loury,Employé,1.35
Loury,Ouvrier,2.56
Le Malesherbois,Cadre,11.41
Le Malesherbois,Profession,6.29
Le Malesherbois,Employé,4.63
Le Malesherbois,Ouvrier,7.76
Marcilly-en-Villette,Cadre,9.55
Marcilly-en-Villette,Profession,7.59
Marcilly-en-Villette,Employé,6.73
Marcilly-en-Villette,Ouvrier,3.14
Mardié,Cadre,9.72
Mardié,Profession,5.72
Mardié,Employé,6.9
Mardié,Ouvrier,2.22
Meung-sur-Loire,Cadre,14.81
Meung-sur-Loire,Profession,2.47
Meung-sur-Loire,Employé,2.83
Meung-sur-Loire,Ouvrier,5.26
Montargis,Cadre,9.84
